no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
1,0,0,1,0,1,0,18,2018,10,18,2,1,0.0,2.3978952727983707,65.0,1,1
2,0,2,5,0,0,0,31,2018,11,14,4,0,0.0,0.0,64.67,1,1
2,0,2,1,0,0,0,6,2018,8,28,3,0,0.0,0.0,85.0,0,1
2,0,1,4,0,0,0,148,2017,12,30,3,0,0.0,0.0,67.0,0,1
2,0,0,3,3,0,0,63,2018,11,10,4,0,0.0,0.0,118.33,3,1
2,0,0,3,0,0,1,178,2018,8,23,4,0,0.0,0.0,94.62,0,0
1,0,0,4,0,0,0,151,2018,1,19,3,0,0.0,0.0,71.0,0,1
2,0,1,3,0,0,0,93,2017,12,3,4,0,0.0,0.0,72.25,2,1
1,0,0,2,0,0,0,102,2018,12,6,4,0,0.0,0.0,86.4,2,0
2,0,2,3,0,0,0,167,2018,8,4,3,0,0.0,0.0,72.25,1,1
2,0,2,1,0,0,0,57,2018,10,30,4,0,0.0,0.0,103.8,1,1
2,0,0,2,0,0,1,181,2017,8,6,4,0,0.0,0.0,76.5,2,0
2,0,2,5,0,0,0,245,2018,9,22,4,0,0.0,0.0,107.59,0,0
2,0,0,2,0,0,0,49,2018,6,3,3,0,0.0,0.0,80.75,0,1
1,0,0,3,0,0,0,71,2018,6,14,3,0,0.0,0.0,120.0,0,1
2,0,0,3,0,0,0,44,2018,2,17,3,0,0.0,0.0,75.0,0,1
2,0,2,3,3,0,0,2,2018,6,26,3,0,0.0,0.0,63.75,0,1
2,1,2,5,0,0,0,147,2018,6,28,4,0,0.0,0.0,106.25,2,1
2,0,0,1,0,0,3,0,2018,5,19,4,0,0.0,0.0,223.0,0,0
2,0,0,2,3,0,0,44,2018,2,12,4,0,0.0,0.0,67.5,0,0
2,0,2,2,0,0,0,116,2018,3,25,4,0,0.0,0.0,59.5,0,0
2,0,2,1,0,0,3,11,2018,5,8,4,0,0.0,0.0,126.0,1,1
2,0,0,1,0,0,0,129,2018,8,6,4,0,0.0,0.0,114.3,1,1
2,0,2,5,0,0,1,13,2017,8,27,4,0,0.0,0.0,85.29,1,0
2,0,2,2,0,0,0,186,2018,9,2,3,0,0.0,0.0,80.75,0,1
2,0,2,1,0,0,0,20,2018,2,7,4,0,0.0,0.0,93.0,2,1
1,0,1,3,0,1,0,12,2018,2,15,4,0,0.0,0.0,95.0,0,1
2,0,1,1,0,0,0,10,2017,12,5,4,0,0.0,0.0,80.75,0,1
2,0,1,2,3,0,0,102,2018,11,7,3,0,0.0,0.0,59.5,0,0
1,0,1,0,0,0,3,7,2018,8,8,2,0,0.0,0.0,94.0,0,1
2,0,2,1,0,0,0,26,2017,9,12,4,0,0.0,0.0,124.0,3,1
2,0,2,2,0,0,3,106,2018,4,17,4,0,0.0,0.0,90.95,1,1
2,0,0,2,1,0,0,320,2018,8,18,3,0,0.0,0.0,115.0,1,0
1,0,3,7,0,0,0,0,2017,11,30,4,1,0.0,0.6931471805599453,69.0,1,1
2,0,0,2,3,0,0,13,2018,3,8,4,0,0.0,0.0,81.0,0,1
2,0,0,3,0,0,0,15,2018,4,27,4,0,0.0,0.0,103.44,0,0
2,0,0,4,0,0,0,270,2018,4,20,3,0,0.0,0.0,80.0,0,1
2,0,1,2,0,0,0,102,2017,10,16,4,0,0.0,0.0,89.25,0,1
1,0,0,2,1,0,0,102,2017,10,16,3,0,0.0,0.0,87.0,0,1
1,0,0,1,0,0,0,1,2017,9,30,2,0,0.0,0.0,65.0,0,1
2,0,0,3,0,0,0,78,2018,9,29,3,0,0.0,0.0,95.0,1,1
2,0,0,2,0,0,0,112,2018,6,2,3,0,0.0,0.0,100.0,0,1
2,0,0,2,1,0,0,273,2017,7,17,3,0,0.0,0.0,109.0,0,0
1,0,1,2,0,0,0,25,2018,10,17,4,0,0.0,0.0,129.0,2,1
2,0,2,2,3,0,0,72,2018,10,30,4,0,0.0,0.0,79.65,0,0
2,0,2,3,0,0,0,93,2017,8,15,4,0,0.0,0.0,76.5,2,0
2,0,0,1,0,0,0,91,2018,7,6,4,0,0.0,0.0,114.3,0,1
2,0,2,0,3,0,0,24,2018,9,11,4,0,0.0,0.0,71.69,1,1
1,0,2,0,0,0,0,5,2018,2,28,2,1,0.0,1.0986122886681098,66.0,0,1
1,0,0,1,3,0,0,6,2018,12,1,4,0,0.0,0.0,88.0,0,1
2,0,0,2,0,0,0,57,2018,8,10,4,0,0.0,0.0,135.9,1,1
1,0,0,2,1,0,0,14,2017,9,17,4,0,0.0,0.0,0.0,0,1
1,0,0,1,0,0,0,12,2018,12,14,4,0,0.0,0.0,75.2,0,1
1,0,1,0,3,0,0,5,2017,11,15,4,0,0.0,0.0,73.15,0,1
1,0,0,1,0,0,0,99,2018,2,19,2,0,0.0,0.0,81.0,0,1
2,0,2,5,0,0,0,97,2018,4,30,4,0,0.0,0.0,109.81,1,1
2,0,1,5,0,0,0,56,2018,3,28,4,0,0.0,0.0,85.85,1,0
2,0,1,1,0,0,3,60,2018,9,3,4,0,0.0,0.0,123.3,1,0
1,0,2,1,3,0,0,8,2018,10,29,4,0,0.0,0.0,85.35,1,1
3,0,0,3,0,0,3,198,2018,9,22,4,0,0.0,0.0,159.3,1,0
2,0,4,6,1,0,0,163,2018,8,21,3,0,0.0,0.0,72.25,1,1
1,0,1,2,0,0,0,19,2018,9,23,4,0,0.0,0.0,117.81,1,1
2,0,1,2,0,0,0,20,2018,11,14,3,0,0.0,0.0,80.0,0,1
1,0,1,1,0,0,0,3,2017,9,7,3,0,0.0,0.0,98.8,0,1
2,0,2,1,0,0,3,1,2018,2,7,3,0,0.0,0.0,51.5,0,1
2,0,2,0,0,0,3,30,2018,1,31,4,0,0.0,0.0,79.6,1,1
1,0,1,1,0,0,0,118,2018,6,6,3,0,0.0,0.0,110.0,0,1
2,0,2,0,1,0,0,386,2018,10,23,4,0,0.0,0.0,115.0,1,0
2,0,2,2,3,0,0,186,2018,9,30,4,0,0.0,0.0,102.6,2,0
2,0,0,3,0,0,0,304,2018,11,3,4,0,0.0,0.0,89.0,0,0
1,0,0,1,0,0,3,2,2018,3,2,3,0,0.0,0.0,55.0,0,1
1,0,1,2,0,0,3,12,2017,10,5,3,0,0.0,0.0,75.0,0,1
2,2,1,0,0,0,5,9,2018,8,1,4,0,0.0,0.0,201.0,3,1
3,0,0,5,1,0,3,183,2018,8,16,4,0,0.0,0.0,187.5,0,0
2,0,0,3,0,0,0,79,2017,7,7,1,0,0.0,0.0,37.33,1,1
2,0,2,3,0,0,0,256,2018,10,16,4,0,0.0,0.0,100.75,0,0
2,0,0,2,0,0,0,97,2018,4,8,4,0,0.0,0.0,96.3,1,1
2,0,0,4,0,0,0,175,2018,8,31,4,0,0.0,0.0,112.63,0,0
1,0,0,1,3,0,0,69,2018,10,28,4,0,0.0,0.0,57.52,1,1
2,0,0,1,0,0,0,10,2018,9,1,3,0,0.0,0.0,95.0,1,1
2,0,2,3,0,0,0,0,2017,12,24,3,0,0.0,0.0,62.8,0,1
1,0,2,1,1,0,0,122,2018,3,27,3,0,0.0,0.0,86.0,0,1
2,0,0,3,0,0,3,11,2018,3,16,4,0,0.0,0.0,95.48,1,1
2,0,0,1,3,0,0,67,2018,8,13,4,0,0.0,0.0,125.1,1,1
3,0,0,3,0,0,0,42,2017,11,25,4,0,0.0,0.0,106.8,1,1
2,0,2,1,1,0,0,4,2018,1,2,3,0,0.0,0.0,109.0,0,1
1,0,1,0,0,0,0,4,2018,1,25,2,0,0.0,0.0,59.0,0,1
2,0,1,2,3,0,0,133,2018,4,29,4,0,0.0,0.0,88.5,0,0
2,0,1,4,0,0,0,74,2018,2,17,4,0,0.0,0.0,55.24,0,1
1,0,0,1,0,0,0,2,2018,8,2,4,0,0.0,0.0,102.7,0,1
2,0,2,0,3,0,0,135,2018,5,22,4,0,0.0,0.0,94.5,2,1
3,0,0,3,0,0,0,128,2018,5,4,3,0,0.0,0.0,105.4,1,1
2,0,1,0,3,0,0,0,2018,5,9,4,0,0.0,0.0,89.0,0,1
2,0,1,0,3,0,0,6,2017,8,23,4,0,0.0,0.0,81.0,0,1
2,0,0,2,0,0,0,38,2018,12,2,2,0,0.0,0.0,85.0,0,1
1,0,0,1,0,0,3,20,2018,5,11,4,0,0.0,0.0,156.0,0,0
2,0,1,3,0,0,0,240,2018,10,27,4,0,0.0,0.0,90.95,2,1
1,0,2,5,0,0,0,34,2018,11,14,4,0,0.0,0.0,74.8,2,0
2,0,0,2,0,0,0,79,2017,11,13,3,0,0.0,0.0,75.0,0,1
2,1,2,3,0,0,3,126,2018,5,15,4,0,0.0,0.0,125.45,2,1
1,0,0,1,0,0,0,4,2018,12,14,4,0,0.0,0.0,88.0,1,1
2,0,0,1,0,0,0,31,2018,10,4,4,0,0.0,0.0,125.1,1,1
2,0,2,1,0,0,3,2,2017,9,20,3,0,0.0,0.0,75.0,0,1
2,0,0,2,3,0,0,35,2018,6,1,4,0,0.0,0.0,84.24,0,0
3,0,2,2,0,0,3,147,2018,7,3,4,0,0.0,0.0,127.93,1,1
3,0,0,3,0,0,3,176,2018,8,9,4,0,0.0,0.0,137.7,2,0
1,0,1,0,0,0,0,0,2018,5,23,2,0,0.0,0.0,65.0,0,1
3,0,1,3,0,0,5,22,2018,6,13,4,0,0.0,0.0,206.0,2,1
2,0,0,2,0,0,0,31,2018,7,27,4,0,0.0,0.0,135.9,1,0
2,0,1,3,0,0,3,73,2018,9,19,4,0,0.0,0.0,149.4,1,0
2,0,0,2,3,0,0,2,2018,3,22,4,0,0.0,0.0,98.0,0,1
2,0,2,0,0,0,0,83,2018,12,18,3,0,0.0,0.0,75.0,0,1
1,0,0,1,0,0,6,8,2018,2,6,2,0,0.0,0.0,101.0,0,1
2,0,0,2,0,0,0,11,2018,1,20,4,0,0.0,0.0,80.3,1,1
2,0,0,2,3,0,0,192,2018,8,3,4,0,0.0,0.0,94.5,0,0
3,0,2,8,0,0,3,39,2018,12,8,4,0,0.0,0.0,130.9,2,1
1,0,0,2,0,0,0,188,2018,6,15,4,0,0.0,0.0,130.0,0,0
2,0,6,13,3,0,0,64,2018,3,10,4,0,0.0,0.0,70.46,0,0
2,0,0,1,0,0,0,39,2017,10,23,4,0,0.0,0.0,96.3,2,1
2,0,2,2,0,0,3,47,2018,9,18,4,0,0.0,0.0,119.52,0,1
2,0,0,2,1,0,0,74,2017,9,18,3,0,0.0,0.0,109.0,0,1
2,1,1,1,0,1,0,27,2018,8,8,4,0,0.0,0.0,195.5,2,1
2,0,0,2,1,0,0,256,2018,6,15,3,0,0.0,0.0,115.0,1,0
2,0,1,2,0,0,0,267,2018,9,30,3,0,0.0,0.0,95.0,0,0
1,0,1,0,3,0,0,33,2018,10,3,4,0,0.0,0.0,120.6,1,1
2,0,2,2,0,0,0,47,2018,3,11,4,0,0.0,0.0,86.35,1,1
2,0,2,1,0,0,0,54,2018,7,3,4,0,0.0,0.0,117.9,0,0
2,0,1,2,0,0,0,95,2018,5,6,3,0,0.0,0.0,80.75,0,1
2,0,0,2,0,0,0,89,2018,4,1,4,0,0.0,0.0,87.3,1,1
3,0,0,4,0,0,3,104,2018,8,24,4,0,0.0,0.0,150.3,0,0
2,0,2,6,0,0,0,156,2018,8,12,4,0,0.0,0.0,106.89,1,0
2,0,0,3,0,0,0,213,2018,6,7,3,0,0.0,0.0,130.0,0,0
2,0,2,5,3,0,0,44,2018,2,21,4,0,0.0,0.0,66.29,1,1
2,0,1,3,0,0,0,86,2018,4,25,4,0,0.0,0.0,90.95,1,1
2,0,0,4,0,0,3,78,2018,4,6,4,0,0.0,0.0,108.45,1,1
2,0,0,3,0,0,3,76,2018,5,12,4,0,0.0,0.0,140.4,1,1
2,0,2,3,0,0,3,170,2018,8,11,4,0,0.0,0.0,112.2,1,0
2,0,1,1,3,0,0,4,2018,1,16,4,0,0.0,0.0,67.5,0,1
2,0,2,1,1,0,0,131,2017,8,15,3,0,0.0,0.0,94.5,0,0
3,0,0,1,3,0,0,19,2018,3,3,4,0,0.0,0.0,115.0,0,0
2,0,2,4,3,0,0,97,2018,5,1,4,0,0.0,0.0,84.43,0,0
2,0,0,1,3,0,0,0,2018,6,17,4,0,0.0,0.0,129.0,1,1
2,0,1,4,0,0,0,275,2018,10,5,3,0,0.0,0.0,90.0,0,0
2,0,1,3,0,0,0,16,2017,10,1,4,0,0.0,0.0,111.75,1,1
2,0,2,0,0,0,0,146,2018,4,24,3,0,0.0,0.0,95.0,0,0
2,0,0,2,3,0,0,35,2018,3,2,4,0,0.0,0.0,73.1,0,0
2,0,1,2,0,0,3,20,2017,12,28,4,0,0.0,0.0,70.42,0,1
2,0,1,2,0,0,0,191,2018,6,3,3,0,0.0,0.0,132.0,0,0
2,0,2,6,0,0,0,36,2018,12,10,4,0,0.0,0.0,68.07,1,1
2,0,1,3,0,0,0,105,2018,7,7,4,0,0.0,0.0,114.3,1,1
1,0,0,1,0,0,3,10,2018,9,30,0,0,0.0,0.0,110.0,0,0
2,0,1,2,0,0,0,6,2017,10,30,4,0,0.0,0.0,87.27,1,1
1,0,1,2,0,0,0,167,2018,8,26,4,0,0.0,0.0,96.3,0,0
3,0,0,2,0,0,3,138,2018,8,18,4,0,0.0,0.0,142.2,0,0
3,0,0,2,0,0,6,3,2018,4,7,4,0,0.0,0.0,185.57,0,1
2,1,0,4,0,0,0,33,2018,10,26,4,0,0.0,0.0,149.0,1,0
2,0,1,2,0,0,0,290,2018,6,17,3,0,0.0,0.0,72.0,0,0
3,0,1,3,0,0,3,246,2018,12,26,4,0,0.0,0.0,104.55,0,1
2,0,2,0,3,0,0,75,2018,4,17,4,0,0.0,0.0,90.0,0,1
2,0,2,2,3,0,0,12,2018,2,6,4,0,0.0,0.0,55.72,0,1
2,0,2,2,0,0,0,14,2018,2,7,4,0,0.0,0.0,91.0,1,0
2,0,0,3,0,0,0,7,2017,12,9,3,0,0.0,0.0,58.0,0,1
2,0,1,2,0,0,0,4,2017,11,27,3,0,0.0,0.0,55.0,0,1
2,0,2,5,3,0,0,177,2018,8,22,4,0,0.0,0.0,84.39,0,0
2,0,0,2,0,0,0,176,2018,10,7,4,0,0.0,0.0,108.9,0,0
2,0,1,0,0,0,0,5,2018,8,21,4,0,0.0,0.0,167.0,0,0
2,0,0,3,0,0,0,308,2018,11,23,4,0,0.0,0.0,78.3,1,0
2,0,1,1,1,0,0,88,2017,10,5,3,0,0.0,0.0,112.2,0,1
2,0,0,1,0,0,0,4,2018,2,19,2,0,0.0,0.0,80.0,0,0
2,0,2,5,3,0,0,188,2018,7,23,4,0,0.0,0.0,80.75,1,1
2,0,3,5,0,0,3,46,2018,3,13,4,0,0.0,0.0,96.16,1,0
1,0,0,2,0,1,0,9,2018,10,13,2,1,0.0,1.0986122886681098,67.0,1,1
2,0,1,3,1,0,3,9,2018,6,27,4,0,0.0,0.0,194.0,2,1
2,0,1,0,0,0,0,0,2018,10,3,2,1,0.0,1.3862943611198906,75.0,0,1
2,0,1,1,0,1,0,235,2018,8,6,4,0,0.0,0.0,105.3,2,0
2,0,0,2,0,0,3,96,2018,8,11,3,0,0.0,0.0,82.45,0,1
2,0,1,4,0,0,0,135,2018,5,9,4,0,0.0,0.0,79.72,1,0
2,0,1,2,0,0,0,101,2018,4,4,3,0,0.0,0.0,80.0,0,0
2,0,2,3,0,0,0,212,2018,5,20,3,0,0.0,0.0,78.0,1,1
2,0,0,1,0,0,0,28,2018,9,27,3,0,0.0,0.0,75.0,2,1
1,0,1,0,0,0,0,13,2018,3,20,3,0,0.0,0.0,75.0,0,1
2,0,2,1,0,0,0,306,2018,8,14,4,0,0.0,0.0,104.4,3,1
2,0,1,3,3,0,1,51,2018,3,21,4,0,0.0,0.0,83.3,1,1
2,0,1,2,0,0,0,177,2018,10,14,3,0,0.0,0.0,80.75,0,1
2,0,2,2,3,0,0,17,2018,11,6,4,0,0.0,0.0,142.54,0,1
3,0,0,3,0,0,3,45,2018,8,30,4,0,0.0,0.0,151.2,2,1
2,1,0,2,0,0,0,244,2018,12,21,4,0,0.0,0.0,94.5,2,0
2,0,1,3,0,0,0,100,2018,5,19,4,0,0.0,0.0,136.0,1,1
1,0,0,1,0,0,0,41,2018,3,15,4,0,0.0,0.0,76.5,0,0
1,0,0,2,0,0,0,192,2018,6,24,3,0,0.0,0.0,95.0,0,1
3,0,0,2,0,0,3,24,2018,6,22,4,0,0.0,0.0,157.0,0,0
1,0,0,2,0,0,0,29,2018,10,20,4,0,0.0,0.0,129.0,1,0
2,0,0,3,0,0,0,18,2017,9,2,4,0,0.0,0.0,12.0,2,1
2,0,0,4,0,0,0,104,2018,10,18,4,0,0.0,0.0,91.48,1,1
1,0,1,2,3,0,0,4,2018,10,28,4,0,0.0,0.0,133.33,2,1
2,0,2,1,0,0,3,34,2018,6,19,4,0,0.0,0.0,122.4,0,0
2,0,0,2,3,0,0,64,2018,1,19,4,0,0.0,0.0,65.36,2,1
1,0,0,1,0,0,0,1,2018,1,23,4,0,0.0,0.0,85.0,0,1
2,0,2,2,0,0,0,138,2018,7,2,4,0,0.0,0.0,71.67,1,1
2,0,0,2,3,0,0,12,2018,8,31,4,0,0.0,0.0,118.5,1,1
2,0,0,4,3,0,0,28,2018,8,30,4,0,0.0,0.0,104.5,2,1
1,0,0,2,0,0,0,164,2017,10,2,3,0,0.0,0.0,100.0,0,1
1,0,0,1,0,0,0,20,2018,6,29,2,1,0.0,0.6931471805599453,65.0,0,1
2,0,2,2,0,0,0,5,2018,12,18,3,0,0.0,0.0,80.0,0,1
2,0,0,2,3,0,0,9,2018,1,14,4,0,0.0,0.0,67.5,0,1
2,0,1,2,0,0,0,12,2018,1,15,4,0,0.0,0.0,89.0,1,1
2,0,0,2,1,0,0,102,2017,10,16,3,0,0.0,0.0,101.5,0,0
2,0,2,2,0,0,0,48,2018,3,20,4,0,0.0,0.0,93.5,2,1
2,2,0,2,0,0,5,7,2018,5,25,4,0,0.0,0.0,241.0,2,1
2,0,0,1,1,0,0,55,2018,4,6,3,0,0.0,0.0,104.0,0,1
2,0,0,3,0,0,3,90,2018,9,7,3,0,0.0,0.0,112.88,0,1
2,0,1,2,0,0,3,50,2018,9,2,4,0,0.0,0.0,123.3,1,0
2,0,2,2,0,0,0,81,2018,3,18,3,0,0.0,0.0,59.5,0,1
2,0,1,1,0,0,0,275,2018,6,4,3,0,0.0,0.0,62.8,0,0
1,0,0,3,0,0,0,113,2018,5,31,2,0,0.0,0.0,100.0,0,0
2,0,2,5,0,0,3,18,2018,8,27,4,0,0.0,0.0,142.43,1,0
2,0,1,0,3,0,0,141,2018,5,23,4,0,0.0,0.0,72.76,1,1
2,0,0,3,3,0,0,29,2018,4,12,4,0,0.0,0.0,98.0,0,0
2,0,0,1,3,0,0,50,2018,10,19,4,0,0.0,0.0,108.0,1,0
1,0,2,0,0,0,0,20,2018,12,4,2,0,0.0,0.0,67.0,0,1
2,0,0,2,1,0,0,39,2017,8,14,3,0,0.0,0.0,101.5,0,1
1,0,0,1,3,0,0,2,2018,3,30,4,0,0.0,0.0,89.0,0,1
3,0,2,5,0,0,3,40,2018,4,22,4,0,0.0,0.0,135.76,0,0
2,0,2,6,3,0,0,69,2018,9,1,4,0,0.0,0.0,123.98,0,0
2,0,1,4,0,0,0,3,2017,8,17,2,0,0.0,0.0,119.0,0,0
